Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/animal/insecta-ant-colony5-day39.edges	152	1501	[1,55]	62|0	0|0	24	8	6	48	6	3	6	3	5	3	26	16	
d/animal/insecta-ant-colony2-day15.edges	132	3972	[1,143]	104|0	0|0	32	10	8	85	8	4	7	4	7	4	40	24	
d/animal/insecta-ant-colony6-day01.edges	165	10731	[1,229]	160|0	0|0	45	12	10	145	10	5	9	5	9	5	54	31	
d/animal/insecta-ant-colony5-day07.edges	153	8093	[1,195]	148|0	0|0	58	14	11	113	11	6	10	6	10	6	59	34	
d/animal/insecta-ant-colony4-day34.edges	102	505	[1,52]	33|0	0|0	16	6	4	29	4	3	4	3	3	3	19	8	
d/animal/insecta-beetle-group-c2-period-2.edges	31	195	[0,0]	21|0	0|1	21	0	0	14	14	8	14	8	14	8	14	8	
d/animal/insecta-ant-colony1-day02.edges	114	4573	[1,138]	106|0	0|0	43	12	9	92	9	5	9	5	9	5	47	25	
d/animal/insecta-beetle-group-t4-period-1.edges	31	155	[0,0]	19|0	0|1	19	0	0	9	9	6	9	6	9	6	9	6	
d/animal/insecta-ant-colony2-day03.edges	132	6497	[1,235]	124|0	0|0	49	16	12	106	12	6	12	6	12	6	49	29	
d/animal/insecta-ant-colony1-day32.edges	113	1090	[1,73]	50|0	0|1	24	8	6	40	5	3	5	3	5	3	26	15	
d/animal/insecta-beetle-group-c4-period-2.edges	31	176	[0,0]	18|0	0|1	18	0	0	12	12	7	12	7	12	7	12	7	
d/animal/insecta-ant-colony6-day27.edges	165	4788	[1,112]	111|0	0|0	45	14	11	87	11	5	11	5	9	5	50	28	
d/animal/insecta-ant-colony4-day35.edges	102	501	[1,54]	33|0	0|0	14	5	4	29	4	2	4	2	4	2	15	7	
d/animal/insecta-ant-colony6-day30.edges	165	4709	[1,111]	107|0	0|0	40	14	12	89	11	5	11	5	11	5	45	26	
d/animal/insecta-ant-colony2-day16.edges	132	4041	[1,140]	108|0	0|0	39	12	9	80	9	4	8	4	8	4	36	20	
d/animal/insecta-ant-colony6-day04.edges	165	10313	[1,97]	158|0	0|0	48	13	10	141	10	5	10	5	10	5	54	31	
d/animal/insecta-ant-colony1-day01.edges	114	4550	[1,133]	109|0	0|0	43	16	11	92	11	5	11	5	9	5	51	28	
d/animal/insecta-ant-colony4-day07.edges	103	3797	[1,133]	97|0	0|0	36	13	9	81	9	5	9	5	9	5	53	26	
d/animal/insecta-ant-colony2-day40.edges	130	895	[1,56]	44|0	0|0	22	6	5	33	5	3	5	3	5	3	18	10	
