Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-hyena-networka.edges	36	521	[0,0]	34|0	0|0	34	0	0	30	30	15	30	15	30	15	30	15	
d/mammalia/mammalia-voles-bhp-trapping-25.edges	880	213	[1,9]	9|0	34|34	9	4	4	3	3	3	2	3	2	3	3	3	
d/mammalia/mammalia-primate-association-11.edges	19	73	[0,6]	13|0	0|0	11	6	6	10	6	4	5	4	5	4	10	6	
d/mammalia/mammalia-voles-plj-trapping-60.edges	1218	143	[1,12]	8|0	15|26	8	4	4	3	4	4	2	4	2	4	3	4	
d/mammalia/mammalia-voles-bhp-trapping-18.edges	484	94	[1,3]	6|0	25|23	6	3	3	2	2	2	1	2	1	2	2	2	
d/mammalia/mammalia-baboon-association-group25.edges	20	9	[1,2]	3|0	5|2	3	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-primate-association-17.edges	15	20	[0,7]	6|0	0|0	6	4	4	5	3	3	3	3	3	3	5	3	
d/mammalia/mammalia-voles-bhp-trapping-60.edges	1636	139	[1,6]	7|0	18|24	6	3	3	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-62.edges	1665	58	[1,6]	4|0	30|16	4	3	3	1	3	2	1	2	1	2	1	2	
d/mammalia/mammalia-voles-bhp-trapping-03.edges	35	18	[1,2]	4|0	11|6	4	2	2	1	2	2	1	2	1	2	1	2	
d/mammalia/mammalia-voles-bhp-trapping-23.edges	703	253	[1,12]	10|0	14|29	10	5	4	6	4	3	3	3	3	3	6	3	
d/mammalia/mammalia-voles-plj-trapping-29.edges	734	54	[1,6]	4|0	24|18	4	2	2	2	2	2	1	2	1	2	2	2	
d/mammalia/mammalia-primate-association-12.edges	19	89	[0,4]	14|0	0|0	12	7	7	11	6	4	6	4	6	4	11	7	
Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-voles-plj-trapping-54.edges	1051	31	[1,4]	7|0	13|3	6	4	4	3	2	3	2	3	2	3	3	3	
d/mammalia/mammalia-baboon-grooming-group07.edges	17	41	[1,6]	8|0	0|1	8	3	2	5	2	2	2	2	2	2	5	3	
d/mammalia/mammalia-baboon-grooming-group17.edges	10	7	[1,2]	3|0	1|5	3	1	1	2	1	1	1	1	1	1	2	2	
d/mammalia/mammalia-voles-plj-trapping-28.edges	723	119	[1,16]	8|0	13|16	8	3	3	3	3	2	2	2	1	2	3	2	
d/mammalia/mammalia-baboon-association-group16.edges	7	11	[1,3]	5|0	0|0	5	3	3	3	3	2	3	2	3	2	3	2	
d/mammalia/mammalia-voles-bhp-trapping-26.edges	936	173	[1,7]	7|0	39|47	7	5	5	3	5	3	3	3	3	3	3	3	
d/mammalia/mammalia-raccoon-proximity-4.edges	25	100	[1,195]	16|0	0|3	9	2	2	10	2	2	2	2	2	2	7	4	
d/mammalia/mammalia-baboon-grooming-group29.edges	14	28	[1,8]	6|0	0|1	6	3	3	3	3	2	3	2	3	2	3	2	
d/mammalia/mammalia-voles-kcs-trapping-14.edges	237	156	[1,9]	10|0	6|8	10	5	5	4	5	4	2	4	2	4	4	4	
d/mammalia/mammalia-baboon-grooming-group22.edges	9	10	[1,3]	3|0	0|4	3	1	1	2	1	1	1	1	1	1	2	2	
d/mammalia/mammalia-voles-rob-trapping-62.edges	1465	96	[1,4]	7|0	12|28	7	3	3	2	2	3	2	3	2	3	2	3	
d/mammalia/mammalia-raccoon-proximity-52.edges	25	32	[13,31680]	7|0	2|5	2	1	1	4	1	0	1	0	1	0	1	0	
d/mammalia/mammalia-voles-rob-trapping-16.edges	467	186	[1,20]	9|0	24|22	8	5	4	2	4	3	2	3	2	3	2	3	
d/mammalia/mammalia-spidermonkeys-contact.edges	18	72	[1,480]	14|0	0|2	3	1	1	9	1	1	1	1	1	1	2	2	
d/mammalia/mammalia-voles-kcs-trapping-60.edges	1189	79	[1,12]	8|0	11|18	8	3	3	3	3	2	2	2	2	2	3	2	
d/mammalia/mammalia-baboon-association-group27.edges	19	27	[1,2]	6|0	5|1	6	3	3	5	3	2	3	2	3	2	5	2	
d/mammalia/mammalia-voles-plj-trapping-34.edges	770	7	[1,2]	2|0	6|4	2	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-kangaroo-interactions.edges	18	91	[1,54]	15|0	1|1	11	4	4	10	3	2	3	2	3	2	9	5	
d/mammalia/mammalia-voles-plj-trapping-25.edges	582	503	[1,17]	17|0	14|15	14	11	9	7	9	4	3	4	3	4	7	5	
d/mammalia/mammalia-primate-association-14.edges	21	55	[0,5]	11|0	0|1	8	4	4	4	4	3	4	3	4	3	4	3	
d/mammalia/mammalia-raccoon-proximity-20.edges	25	35	[2,357401]	8|0	1|3	2	0	0	4	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-baboon-association-group06.edges	9	9	[1,1]	3|0	1|1	3	0	0	2	2	1	2	1	2	1	2	1	
d/mammalia/mammalia-baboon-grooming-group25.edges	17	14	[1,3]	4|0	5|3	4	3	3	3	3	2	3	2	3	2	3	2	
d/mammalia/mammalia-raccoon-proximity-14.edges	25	59	[2,142503]	12|0	0|0	1	0	0	5	0	0	0	0	0	0	1	0	
Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-voles-rob-trapping-22.edges	640	151	[1,8]	10|0	22|35	9	5	5	2	5	3	2	3	2	3	2	3	
d/mammalia/mammalia-elephantseal-2010-2011.edges	51	58	[1,1]	9|0	21|12	9	0	0	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-14.edges	337	148	[1,4]	10|0	25|20	9	4	3	3	3	3	3	3	3	3	3	3	
d/mammalia/mammalia-voles-bhp-trapping-11.edges	184	67	[1,4]	7|0	5|4	6	3	3	3	3	2	3	2	3	2	3	2	
d/mammalia/mammalia-voles-plj-trapping-20.edges	294	43	[1,8]	6|0	7|11	6	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-plj-trapping-01.edges	11	9	[1,2]	3|0	4|4	3	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-baboon-association-group26.edges	20	7	[1,2]	3|0	5|3	3	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-voles-plj-trapping-13.edges	191	17	[1,4]	4|0	6|3	4	1	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-voles-plj-trapping-17.edges	265	42	[1,3]	7|0	13|11	6	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-baboon-grooming-group12.edges	9	2	[1,1]	1|0	4|0	1	0	0	0	0	0	0	0	0	0	0	0	
d/mammalia/mammalia-voles-rob-trapping-32.edges	925	13	[1,5]	3|0	6|7	2	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-voles-rob-trapping-09.edges	187	35	[1,5]	5|0	17|8	5	3	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-20.edges	529	103	[1,10]	6|0	22|14	6	2	2	3	2	2	2	2	2	2	3	2	
d/mammalia/mammalia-primate-association-7.edges	21	49	[0,5]	11|0	1|1	10	3	3	7	3	2	3	2	3	2	7	3	
d/mammalia/mammalia-dolphin-floridatravel.edges	189	1032	[1,5]	43|0	7|10	42	26	22	11	22	11	11	11	11	11	11	11	
d/mammalia/mammalia-voles-bhp-trapping-38.edges	1134	4	[1,1]	1|0	8|0	1	0	0	0	0	0	0	0	0	0	0	0	
d/mammalia/mammalia-voles-plj-trapping-36.edges	776	7	[1,1]	2|0	4|5	2	0	0	1	1	0	1	0	1	0	1	0	
d/mammalia/mammalia-voles-rob-trapping-60.edges	1424	107	[1,5]	6|0	18|31	6	4	3	2	2	2	1	2	1	2	2	2	
d/mammalia/mammalia-voles-kcs-trapping-55.edges	1097	84	[1,5]	8|0	6|7	7	3	2	4	2	2	2	2	2	2	4	2	
d/mammalia/mammalia-voles-kcs-trapping-46.edges	910	51	[1,8]	7|0	16|6	7	3	3	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-bhp-trapping-44.edges	1152	11	[1,2]	3|0	8|4	3	1	1	1	1	1	1	1	1	1	1	1	
